Year,Box Office Collection,IMDB Rating,metascore,time_minute,Target,Imdb_genre_Comedy,Imdb_genre_Drama,Imdb_genre_Horror,Imdb_genre_Sci-Fi,Imdb_genre_Thriller
1986,69679794.5,74.0,78.0,95.0,Capolavoro Universale,False,False,False,False,True
2008,585171547.0,79.0,79.0,126.0,Capolavoro Universale,False,False,False,True,False
2018,69679794.5,69.0,69.0,121.0,Gemma della Critica,False,False,False,False,True
2017,614202315.0,81.0,77.0,137.0,Capolavoro Universale,False,True,False,False,False
1964,124900000.0,77.0,87.0,110.0,Capolavoro Universale,False,False,False,False,True
1976,69679794.5,73.0,89.0,91.0,Capolavoro Universale,False,False,True,False,False
2017,818058221.0,74.0,76.0,141.0,Capolavoro Universale,False,False,False,True,False
2014,714401889.0,78.0,70.0,136.0,Capolavoro Universale,False,False,False,True,False
2003,6226386.0,84.0,77.0,101.0,Crowd Pleaser,False,True,False,False,False
1971,41159423.0,77.0,94.0,104.0,Capolavoro Universale,False,True,False,False,False
2015,1516881526.0,71.0,67.0,137.0,Flop,False,False,False,False,True
1990,69679794.5,74.0,70.0,60.0,Capolavoro Universale,False,True,False,False,False
1992,16270600.0,69.0,70.0,91.0,Gemma della Critica,True,False,False,False,False
1971,28153434.0,77.0,87.0,102.0,Capolavoro Universale,False,False,False,False,True
2014,367028980.0,79.0,71.0,113.0,Capolavoro Universale,False,False,False,True,False
1993,353715317.0,78.0,87.0,130.0,Capolavoro Universale,False,True,False,False,False
2018,1336494321.0,73.0,88.0,134.0,Capolavoro Universale,False,False,False,True,False
2010,728582465.0,88.0,74.0,148.0,Capolavoro Universale,False,False,False,True,False
1995,209045244.0,84.0,68.0,178.0,Crowd Pleaser,False,True,False,False,False
2002,358824714.0,77.0,80.0,145.0,Capolavoro Universale,False,False,False,True,False
2019,2797800564.0,84.0,78.0,181.0,Capolavoro Universale,False,True,False,False,False
2012,41467606.0,71.0,60.0,95.0,Flop,False,False,False,True,False
2002,214357371.0,79.0,68.0,119.0,Crowd Pleaser,False,False,False,False,True
2008,22114423.0,80.0,59.0,106.0,Capolavoro Universale,False,True,False,False,False
1997,241200000.0,73.0,82.0,138.0,Capolavoro Universale,False,False,False,True,False
